ant-antlibs-dotnet,Issues missing,Issues missing,17,2014-05-28 07:00:08,3,7,PRs missing,1,True,-2,Commits or Issues or PRs missing,1,0,,PRs missing,,PRs missing,0,103,Issues missing,47.69,3,0,0,0,4.003813155386082,60,2014-05-28,2019-05-26,12,https://github.com/apache/ant-antlibs-dotnet
commons-validator,14933400.084534336,824,550,2010-09-26 07:00:19,-84,150,14,3,False,3,235,33,0,,-1,,84155,179,4190,0.029895520844108823,108.5,7,0,1,0,5.039096437880104,82,2010-09-26,2024-08-21,12,https://github.com/apache/commons-validator
commons-vfs,9489511.753998652,1880,663,2013-07-13 07:00:13,-66,201,17,4,False,3,293,50,1,,-1,,27551,181,4065,0.04102926178708716,73.91,20,0,0,1,12.570166009793384,111,2013-07-13,2024-08-21,12,https://github.com/apache/commons-vfs
commons-weaver,3391127.890571428,61,55,2013-10-25 07:00:33,21,15,1,1,False,0,19,11,0,,-1,,30486,167,894,0.005279034690799397,26.75,5,0,0,0,3.047172575446821,86,2013-10-25,2024-05-16,12,https://github.com/apache/commons-weaver
comdev-site,19209329.054299593,472,411,2018-04-21 10:02:14,-29,103,2,4,False,8,164,31,328,,41496,,70382,448,795,0.003204962522615663,0.0,0,0,0,0,0.0,18,2018-04-21,2024-07-29,12,https://github.com/apache/comdev-site
directory-server,8202400.428234835,5136,386,2009-05-21 02:25:07,199,92,20,2,False,-2,513,30,1,,-1,,13638,196,13643,0.01932314559037653,91.27,39,1,9,39,13.865893279979442,234,2009-05-21,2024-08-22,12,https://github.com/apache/directory-server
directory-studio,7875271.542539563,3713,289,2009-05-20 01:52:19,-15,51,16,2,False,1,457,18,0,,-1,,5576,200,6010,0.001124291258674556,8.96,0,11,12,98,21.684897849281413,328,2009-05-20,2024-07-15,12,https://github.com/apache/directory-studio
xmlgraphics-fop,11135565.767717334,10008,473,2009-05-21 00:26:43,74,129,0,3,False,-5,816,19,0,,-1,,51218,254,10566,0.01330982894025034,59.68,0,3,21,58,8.79965908079022,390,2009-05-21,2024-08-21,12,https://github.com/apache/xmlgraphics-fop
directory-fortress-core,4848656.3021097565,421,124,2015-10-02 07:00:05,52,36,-3,1,False,-3,42,18,0,,-1,,66987,429,1656,0.007839152210205414,82.77,33,0,6,12,21.32026749652387,212,2015-10-02,2024-08-09,12,https://github.com/apache/directory-fortress-core
hbase,3085777.121710754,218768,13689,2014-05-23 07:00:07,347,3321,124,4,False,4,2566,728,7393,,61082,,6913,8982,49281,0.0259577119223643,94.32,0,4,44,78,7.76434430266692,287,2014-05-23,2024-08-21,12,https://github.com/apache/hbase
httpd,Issues missing,Issues missing,8148,2009-05-20 02:02:59,53,1124,11,9,False,-15,Commits or Issues or PRs missing,62,0,,-1,,64601,704,63434,Issues missing,8.5,0,42,65,215,7.1344984259712,728,2009-05-20,2024-08-22,12,https://github.com/apache/httpd
httpcomponents-client,2028848.7240931818,9685,3820,2009-05-21 01:43:06,20,932,5,1,False,3,1284,133,2,,-1,,75233,664,3928,0.07793078549693125,69.46,32,3,1,20,14.73611111111111,261,2009-05-21,2024-08-22,12,https://github.com/apache/httpcomponents-client
httpcomponents-core,1469005.1566090535,3894,1036,2009-05-21 01:41:50,-2,342,6,1,False,3,484,102,5,,-1,,9612,581,4080,0.02056220718375846,63.57,41,1,1,8,14.838597204869686,287,2009-05-21,2024-08-22,12,https://github.com/apache/httpcomponents-core
ant-ivyde,7137313.1821869435,72,41,2014-05-28 07:00:08,2,17,-1,1,True,-2,45,12,0,,-1,,79116,161,755,0.023072697308185314,10.77,13,0,0,7,3.720273133976925,613,2014-05-28,2023-11-26,12,https://github.com/apache/ant-ivyde
james-project,8888623.327718906,8504,2197,2015-07-11 07:00:06,-1133,465,64,2,False,13,393,130,8518,,6501,,13811,861,16320,0.009987397178594176,123.48,40,1,5,11,11.118373785227721,163,2015-07-11,2024-08-23,12,https://github.com/apache/james-project
jmeter,4827103.226902727,17204,18458,2010-05-26 23:38:07,522,2070,15,3,False,0,189,87,1331,,4505,,59831,707,31495,0.0,23.68,36,0,7,19,8.522101030764212,167,2010-05-26,2024-08-11,12,https://github.com/apache/jmeter
karaf,3798646.5199630726,34283,1996,2010-08-12 03:32:41,186,656,17,2,False,-5,1399,241,8730,,6404,,37959,452,20824,0.04605663932452151,27.64,0,5,6,42,17.047688437375417,556,2010-08-12,2024-08-13,12,https://github.com/apache/karaf
directory-kerby,4871065.175555725,2090,287,2015-03-17 07:00:05,104,71,43,2,False,-3,104,31,3,,-1,,30711,267,2454,0.005428781744571219,23.17,33,0,0,6,13.98170438131921,125,2015-03-17,2024-08-19,12,https://github.com/apache/directory-kerby
kibble-1,2682291.7560975607,197,145,2017-10-19 11:34:00,128,29,0,1,False,-1,21,17,637,,59497,,14538,44,674,0.0,0.0,37,1,4,29,46.23086186134526,231,2017-10-19,2022-08-19,12,https://github.com/apache/kibble-1
logging-log4j2,3850367.6776730027,26034,8231,2013-06-12 07:00:19,-616,1579,133,3,False,10,2377,277,3574,,23924,,19943,606,18136,0.018659650689785735,64.36,31,3,4,13,18.0417658739495,314,2013-06-12,2024-08-22,12,https://github.com/apache/logging-log4j2
mahout,5317982.249975425,4766,5203,2014-05-23 07:00:07,35,945,-42,2,False,-4,237,45,747,,-1,,59611,401,4526,0.01302528252793931,1.12,0,0,0,0,4.852320675105485,38,2014-05-23,2024-08-16,12,https://github.com/apache/mahout
maven,11220367.291693283,30178,11175,2009-05-21 03:22:03,399,2643,52,3,False,13,2324,231,2105,,68459,,8026,806,13951,0.059893393635923116,48.49,28,0,7,30,26.82830251896074,236,2009-05-21,2024-08-23,12,https://github.com/apache/maven
maven-doxia,13387980.937910354,2108,95,2009-05-21 03:16:25,149,39,4,4,False,0,193,36,265,,71239,,50538,52,2149,0.03583962565138785,104.46,21,3,1,5,5.684162273664909,232,2009-05-21,2024-08-22,12,https://github.com/apache/maven-doxia
mesos,5316112.854583093,38686,12123,2013-07-17 07:00:13,246,1669,-7,11,False,-4,1712,442,982,,42321,,75391,2624,19547,0.011675614178547303,79.3,0,17,29,97,23.563492458913714,591,2013-07-17,2024-08-22,12,https://github.com/apache/mesos
mina,7050016.939614151,3037,2232,2009-05-21 01:13:51,38,434,2,2,False,-2,357,27,0,,-1,,37841,83,4431,0.03952520802741067,82.78,12,0,0,1,9.729955456570156,103,2009-05-21,2024-07-16,12,https://github.com/apache/mina
mnemonic,2291441.046293869,1908,299,2016-03-29 07:00:06,20,63,-12,1,False,1,84,37,96,,-1,,73986,117,681,0.04483611626468769,32.73,14,0,1,4,32.55148286554822,152,2016-03-29,2024-08-18,12,https://github.com/apache/mnemonic
mod_perl,Issues missing,Issues missing,88,2010-09-04 07:00:06,-3,18,0,2,False,-1,Commits or Issues or PRs missing,6,0,,-1,,43099,191,7775,Issues missing,0.0,30,0,6,12,47.47884605868672,325,2010-09-04,2024-02-06,12,https://github.com/apache/mod_perl
orc,2586055.2206455087,7323,1827,2015-05-06 07:00:05,-67,479,18,1,False,11,506,175,1901,,66010,,26988,775,2431,0.010536174198080075,76.74,22,2,12,15,12.641670824720222,317,2015-05-06,2024-08-23,12,https://github.com/apache/orc
ozone,6365761.124423527,19885,2117,2019-10-02 15:56:19,-38,491,-295,12,False,4,552,187,1429,,284,,9733,714,7781,0.03899896200481356,78.64,31,2,26,72,8.424732437416209,335,2019-10-02,2024-08-24,12,https://github.com/apache/ozone
poi,Issues missing,Issues missing,4564,2009-05-21 01:15:15,19,752,18,4,False,-3,Commits or Issues or PRs missing,25,0,,-1,,54245,185,13335,Issues missing,52.34,0,10,15,38,7.104573969182045,384,2009-05-21,2024-08-21,12,https://github.com/apache/poi
apr,Issues missing,Issues missing,1151,2009-03-27 15:41:55,-89,207,4,6,False,-3,Commits or Issues or PRs missing,26,0,,-1,,50824,193,12217,Issues missing,25.64,10,2,18,37,17.52581856589602,281,2009-03-27,2024-08-21,12,https://github.com/apache/apr
ant-antlibs-props,Issues missing,Issues missing,24,2014-05-28 07:00:08,10,12,0,1,True,-2,Commits or Issues or PRs missing,3,0,,-1,,1212,0,65,Issues missing,76.72,0,0,0,0,3.0018761726078798,27,2014-05-28,2020-08-14,12,https://github.com/apache/ant-antlibs-props
axis-axis2-java-sandesha,2973057.665156977,0,4,2020-03-20 01:51:24,0,2,1,1,True,0,0,0,0,,-1,,14307,32,1720,0.008602281739979257,27.32,22,4,0,18,16.433008961460224,303,2020-03-20,2023-11-20,12,https://github.com/apache/axis-axis2-java-sandesha
santuario-xml-security-java,7321205.249972067,298,127,2020-05-14 07:46:45,-14,55,25,1,False,-2,76,22,0,,-1,,9291,154,2218,0.004434870755195134,183.35,38,0,2,13,14.064768638343539,184,2020-05-14,2024-08-19,12,https://github.com/apache/santuario-xml-security-java
serf,8115763.24572165,115,61,2016-10-14 07:00:06,40,9,PRs missing,3,True,-3,Commits or Issues or PRs missing,7,0,,PRs missing,,PRs missing,59,2423,0.05728702879192639,64.12,40,0,3,8,8.862419407715004,170,2016-10-14,2024-07-10,12,https://github.com/apache/serf
solr-operator,2180412.547101449,1325,600,2019-06-14 18:25:16,10,112,-8,1,False,0,90,41,35,,15882,,32821,248,232,0.0,52.67,28,3,5,9,33.20076520338301,463,2019-06-14,2024-08-15,12,https://github.com/apache/solr-operator
mina-sshd,2296394.8507152107,6587,2087,2010-05-26 23:38:08,-62,353,39,2,False,9,564,86,130,,68880,,16077,489,2465,0.031241236188232654,46.0,37,0,6,11,6.724421209858103,150,2010-05-26,2024-08-22,12,https://github.com/apache/mina-sshd
steve,6140142.33055,102,33,2016-02-06 08:00:07,117,7,0,1,False,0,32,2,0,,-1,,42725,72,822,0.02379603399433428,1.95,13,2,1,5,33.10082435003171,183,2016-02-06,2024-08-21,12,https://github.com/apache/steve
struts,7168724.5942138685,10070,3377,2014-01-15 08:00:08,-31,809,-1,2,False,-1,595,102,247,,44359,,15609,631,7954,0.036725760030957504,54.06,3,7,9,39,29.216465377789643,370,2014-01-15,2024-08-19,12,https://github.com/apache/struts
systemds,12894107.375763496,6840,2521,2015-11-10 08:00:06,186,463,-54,2,False,2,344,179,202,,54,,34573,962,8020,0.002367422978682517,54.2,0,41,34,107,12.688299026406492,944,2015-11-10,2024-08-24,12,https://github.com/apache/systemds
creadur-tentacles,1157377.042375,149,12,2013-04-29 22:27:13,-47,6,3,2,False,3,15,4,0,,1,,24032,20,443,0.0031559963931469793,2.06,0,0,0,0,3.9215686274509802,35,2013-04-29,2024-08-22,12,https://github.com/apache/creadur-tentacles
tomcat,Issues missing,Issues missing,19839,2011-10-01 07:00:19,463,4963,0,1,False,2,Commits or Issues or PRs missing,153,234,,18620,,63942,1471,75666,Issues missing,34.86,0,28,43,119,11.307561197088374,621,2011-10-01,2024-08-22,12,https://github.com/apache/tomcat
tomee,16011640.543372354,8010,1592,2013-01-22 08:00:16,133,692,135,3,False,5,613,164,2418,,19470,,62876,647,17861,0.010498823854988239,55.06,0,27,20,181,23.82341534155102,556,2013-01-22,2024-08-22,12,https://github.com/apache/tomee
tsfile,387530.9285714286,63,207,2023-11-17 08:07:14,-252,47,-10,1,False,12,36,4,230,,-1,,3548,133,1293,0.0,39.02,35,5,3,9,15.031327697662855,397,2023-11-17,2024-08-20,12,https://github.com/apache/tsfile
turbine-core,25935162.366290323,12,25,2018-01-07 08:00:08,5,9,0,3,False,0,12,5,395,,-1,,11002,75,2657,0.0011977123693744946,17.08,6,0,0,2,14.219888960229634,186,2018-01-07,2024-07-12,12,https://github.com/apache/turbine-core
velocity-master,12298566.348089265,196,4,2020-04-02 14:29:38,-2,2,0,1,True,0,44,1,0,,-1,,60337,2,81,11.68,0.0,0,0,0,0,NaN,0,2020-04-02,2024-08-22,12,https://github.com/apache/velocity-master
velocity-tools,17179143.760241207,223,129,2013-11-22 08:00:14,0,39,1,1,True,0,44,7,22,,-1,,23082,84,1841,0.009664250604015663,27.23,16,1,1,1,3.2554543892801924,344,2013-11-22,2024-08-02,12,https://github.com/apache/velocity-tools
ant-antlibs-vss,Issues missing,Issues missing,9,2014-05-28 07:00:08,2,5,PRs missing,2,True,-2,Commits or Issues or PRs missing,3,0,,PRs missing,,PRs missing,0,16,Issues missing,2.73,1,0,0,0,14.180672268907562,32,2014-05-28,2020-08-16,12,https://github.com/apache/ant-antlibs-vss
mina-vysper,5652957.029474309,21,55,2019-01-12 09:33:56,0,11,2,2,True,0,14,6,0,,-1,,57123,20,857,0.0034666757298711893,63.25,37,0,1,7,5.588872650304894,156,2019-01-12,2024-02-02,12,https://github.com/apache/mina-vysper
whimsy,6006352.938352304,1521,203,2015-11-26 06:56:46,225,67,1,2,False,-1,136,34,610,,-1,,29318,462,8082,0.022212908633696564,1.56,28,2,2,27,13.956126449245142,339,2015-11-26,2024-08-16,12,https://github.com/apache/whimsy
creadur-whisker,304532.4568125,63,16,2013-04-29 22:27:14,-52,6,5,1,False,3,11,4,0,,-1,,80619,9,853,0.004621400639886242,29.61,0,0,2,0,34.119496855345915,31,2013-04-29,2024-08-19,12,https://github.com/apache/creadur-whisker
xalan-c,6109325.169527665,71,85,2019-04-24 02:57:39,67,29,-8,2,True,-3,17,6,0,,-1,,72067,93,4899,0.014569040296506585,4.64,1,0,24,2,28.378274784875142,137,2019-04-24,2024-03-21,12,https://github.com/apache/xalan-c
xalan-j,4307590.811600675,112,116,2009-03-27 15:41:55,0,66,1,3,True,0,8,5,0,,-1,,66048,66,5966,0.015755463588179773,0.0,0,4,33,70,22.40819110625408,813,2009-03-27,2022-07-24,12,https://github.com/apache/xalan-j
xerces-c,13400257.946027255,255,325,2020-01-10 10:00:34,15,85,-9,3,False,-2,58,10,10,,-1,,1539,236,6852,0.08416042954767328,14.43,0,23,32,89,29.63584366062917,554,2020-01-10,2024-08-19,12,https://github.com/apache/xerces-c
xerces2-j,5443314.209787208,1283,142,2010-11-15 08:00:08,74,66,0,3,False,-4,202,6,0,,-1,,-1,61,7741,0.03668215253581107,10.63,0,28,31,127,21.01846670397314,507,2010-11-15,2024-07-14,12,https://github.com/apache/xerces2-j
xmlgraphics-commons,5605593.668950819,546,60,2009-05-21 01:35:45,9,22,0,1,False,-4,103,14,0,,-1,,14205,22,736,0.012948321301707345,18.19,36,4,3,21,15.615415388718496,564,2009-05-21,2024-08-14,12,https://github.com/apache/xmlgraphics-commons
yetus,7956720.687974753,6837,188,2015-09-18 07:00:05,116,60,2,1,False,-7,170,60,824,,-1,,3535,271,1438,0.06363105662580268,17.59,4,0,0,3,4.757118927973199,242,2015-09-18,2024-02-29,12,https://github.com/apache/yetus
zookeeper,5965151.846008363,39947,31444,2009-03-27 15:41:56,67,7204,11,5,False,6,2424,315,447,,50018,,15284,2602,2375,0.016462021411475954,76.41,8,7,13,40,8.242757229499277,457,2009-03-27,2024-08-21,12,https://github.com/apache/zookeeper
lucene,8010208.640990082,29246,6066,2021-02-23 17:16:56,32,1000,-112,7,False,-1,506,177,12594,,50038,,83510,25819,43983,0.008291482493464187,90.39,0,25,36,177,22.69482559806715,1924,2021-02-23,2024-08-22,12,https://github.com/apache/lucene
